Reference, Value, Footprint, Datasheet, Descripcion, Fabricante, Nro. parte, Digikey/Mouser, Desc, Manf, Manf#, Digikey#
C24,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
C26,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
C27,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
R15,"1,5K",chip_rlc:r_0402,,RES SMD 1.5K OHM 1% 1/16W 0402,Yageo,RC0402FR-071K5L,311-1.50KLRCT-ND,,,,
R44,"1,5K",chip_rlc:r_0402,,RES SMD 1.5K OHM 1% 1/16W 0402,Yageo,RC0402FR-071K5L,311-1.50KLRCT-ND,,,,
R51,"1,5K",chip_rlc:r_0402,,RES SMD 1.5K OHM 1% 1/16W 0402,Yageo,RC0402FR-071K5L,311-1.50KLRCT-ND,,,,
R1,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R3,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R4,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R43,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R40,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R46,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R47,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R48,100k,chip_rlc:r_0402,,RES SMD 100K OHM 1% 1/16W 0402,Yageo,RC0402FR-07100KL,311-100KLRCT-ND,,,,
R8,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R11,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
